vehicle_rep1.bam	vehicle_rep2.bam	drug_rep1.bam	drug_rep2.bam
PF3D7_1439800	929	1176	1781	1762
PF3D7_0916700	321	290	694	802
PF3D7_1016300	16056	13330	12837	13743
PF3D7_0628800	143	127	83	119
PF3D7_1115200	298	393	505	594
PF3D7_1460700	1429	2074	701	797
PF3D7_0825100	0	1	1	0
PF3D7_0407300	44	28	42	60
PF3D7_1451400	46	42	41	55
PF3D7_1329500	389	269	561	678
PF3D7_0901100	0	0	0	0
PF3D7_1423500	28	17	35	29
PF3D7_1317700	32	45	33	41
PF3D7_API05300	0	0	0	0
PF3D7_1327700	74	52	38	47
PF3D7_0708400	10853	6970	12024	12330
PF3D7_1308800	374	363	561	601
PF3D7_1365500	204	178	239	274
PF3D7_1427200	31	32	18	13
PF3D7_1350100	1311	1336	1232	1283
PF3D7_1325000	169	180	78	88
PF3D7_0704800	36	57	70	84
PF3D7_0222300	0	0	1	1
PF3D7_1240300	13	9	6	7
PF3D7_1451900	306	257	330	347
PF3D7_1411100	109	146	103	108
PF3D7_1126300	75	79	79	68
PF3D7_1004700	72	114	59	68
PF3D7_0932000	88	83	87	127
PF3D7_0826200	15	25	23	23
PF3D7_1027200	138	138	130	129
PF3D7_1407500	67	89	66	69
PF3D7_0622700	41	40	9	11
PF3D7_0516500	31	44	21	16
PF3D7_0815400	203	256	151	165
PF3D7_1304000	350	282	283	335
PF3D7_0726400	127	78	72	90
PF3D7_1335400	25	19	47	52
PF3D7_0308500	406	280	242	275
PF3D7_0204500	113	89	49	65
PF3D7_1436900	31	60	17	19
PF3D7_0411200	35	24	61	73
PF3D7_1445700	888	878	545	630
PF3D7_0422900	12	21	53	42
PF3D7_1364100	583	591	613	627
PF3D7_1225500	40	37	48	61
PF3D7_0403000	0	0	0	0
PF3D7_0920600	53	47	78	52
PF3D7_0715600	356	351	381	397
PF3D7_0505800	1252	1587	1100	986
PF3D7_1310200	32	11	18	21
PF3D7_1226400	130	173	138	156
PF3D7_1221700	99	92	75	109
PF3D7_0812500	233	254	266	351
PF3D7_1335200	1	2	5	8
PF3D7_1140900	67	63	149	140
PF3D7_0414200	80	70	31	44
PF3D7_1327900	1	0	0	0
PF3D7_0524400	419	460	509	569
mal_mito_2	75	126	28	19
PF3D7_0612400	64	84	43	45
PF3D7_0915900	129	75	108	113
PF3D7_1351100	292	303	177	236
PF3D7_1337200	181	239	113	152
PF3D7_1351200	118	99	61	91
PF3D7_0316100	92	67	38	44
PF3D7_1116100	244	283	268	318
PF3D7_1231600	172	203	287	309
PF3D7_0514500	12	17	3	6
PF3D7_1328200	75	41	72	104
PF3D7_1327100	13	19	0	4
PF3D7_1037100	174	151	85	142
PF3D7_1018500	143	122	107	118
PF3D7_1422000	83	61	57	66
PF3D7_1468700	5862	6199	4296	4489
PF3D7_1128500	93	81	83	84
PF3D7_1224700	75	56	71	81
PF3D7_1119900	161	139	117	149
PF3D7_1303700	43	35	48	44
PF3D7_0608200	48	54	47	43
PF3D7_0726700	113	128	116	155
PF3D7_1144900	244	285	295	333
PF3D7_1404400	44	49	83	76
PF3D7_0620300	2	4	3	3
PF3D7_1036500	21	31	110	174
PF3D7_1441400	424	337	493	539
PF3D7_1105600	348	304	596	700
PF3D7_0810700	49	65	39	39
PF3D7_1321800	340	443	262	221
PF3D7_1015700	58	36	44	46
PF3D7_0632500	4	7	8	4
PF3D7_1136800	112	142	92	127
PF3D7_1420400	561	502	494	543
PF3D7_1407600	34	41	52	78
PF3D7_0703100	14	12	9	6
PF3D7_0631300	0	0	0	0
PF3D7_1431300	151	178	166	184
PF3D7_1349600	193	261	167	209
PF3D7_1361800	926	868	767	840
PF3D7_0906400	0	4	6	2
PF3D7_0510200	298	310	196	226
PF3D7_1035100	144	148	174	195
PF3D7_0421700	1	1	1	0
PF3D7_0829700	33	31	9	9
PF3D7_1321500	379	500	376	441
PF3D7_0216000	21	13	27	33
PF3D7_0309700	53	29	26	47
PF3D7_1464500	187	138	214	283
PF3D7_0907900	467	772	317	353
PF3D7_1355600	21	25	66	100
PF3D7_1102200	0	2	25	29
PF3D7_1237200	127	96	134	171
PF3D7_0415000	98	130	181	177
PF3D7_0106600	1	7	5	6
PF3D7_0806100	65	68	60	87
PF3D7_1246200	8816	11179	10527	9849
PF3D7_0716700	65	55	44	67
PF3D7_1109100	2	1	3	2
PF3D7_0405500	96	111	54	60
mal_rna_11	0	0	0	0
PF3D7_0832800	0	0	0	0
PF3D7_1422600	129	155	115	147
PF3D7_0914700	173	204	130	178
PF3D7_1312900	307	289	363	450
PF3D7_1224900	96	134	147	153
PF3D7_1220300	55	32	58	73
PF3D7_0314900	76	67	24	44
PF3D7_1314000	66	46	44	56
PF3D7_0205400	129	92	88	113
PF3D7_1010900	95	127	108	137
PF3D7_1457200	1126	1123	532	491
PF3D7_0422500	287	163	134	211
PF3D7_1120800	54	52	19	29
PF3D7_1336700	157	121	201	219
PF3D7_0937400	0	0	3	6
PF3D7_0826700	4606	4816	1787	2003
PF3D7_1219400	0	1	3	2
PF3D7_1249400	167	222	158	171
PF3D7_0528100	623	637	550	676
PF3D7_1411800	55	42	71	85
PF3D7_1023100	2	6	0	3
PF3D7_0906600	308	252	541	742
PF3D7_1212200	27	32	26	20
PF3D7_0402100	11	9	114	194
PF3D7_1142400	323	391	195	218
PF3D7_1125500	189	227	179	167
PF3D7_0908700	62	81	59	88
PF3D7_1229700	73	55	14	24
PF3D7_0607200	144	198	170	183
PF3D7_0627400	84	86	53	67
PF3D7_1449300	165	220	342	378
PF3D7_0812200	54	58	20	31
PF3D7_0623200	196	238	81	82
PF3D7_0706300	24	71	18	22
PF3D7_1235300	676	619	1129	1308
PF3D7_0832200	142	46	183	310
PF3D7_0111400	71	51	32	58
PF3D7_0804500	622	412	328	366
PF3D7_1011600	21	27	15	8
PF3D7_1342500	26	34	14	20
PF3D7_0314100	63	107	112	121
PF3D7_1245700	0	0	0	0
PF3D7_1469800	245	234	108	119
PF3D7_1434900	5	16	6	3
PF3D7_0718000	20	16	8	3
PF3D7_0908200	87	105	134	142
PF3D7_0725700	0	0	0	0
PF3D7_1236100	245	311	375	429
PF3D7_0522100	29	36	101	148
PF3D7_0208500	114	140	91	88
PF3D7_0410700	154	169	233	270
PF3D7_1423000	180	183	382	425
PF3D7_1221800	101	166	194	181
PF3D7_1437400	170	103	116	170
PF3D7_1363700	67	76	117	141
PF3D7_0409600	397	326	229	292
PF3D7_0618300	1836	2370	1013	1126
PF3D7_1416800	88	101	138	157
PF3D7_0802300	175	110	148	190
PF3D7_1231300	0	4	2	1
PF3D7_0828600	143	135	54	60
PF3D7_0411700	0	0	0	0
PF3D7_0601900	248	107	882	976
PF3D7_1356400	87	80	86	110
PF3D7_1114700	641	585	556	615
PF3D7_0718300	1	1	0	1
PF3D7_0316600	2803	3349	2571	2488
PF3D7_1129000	299	437	424	382
PF3D7_1140500	28	35	42	47
PF3D7_1330100	140	201	170	146
PF3D7_0812600	114	128	117	128
PF3D7_1478000	2	0	1	7
PF3D7_0630600	308	289	203	235
PF3D7_1401300	11	21	116	134
PF3D7_1365300	53	85	70	110
PF3D7_1446200	2672	2092	797	796
PF3D7_0503200	84	62	78	75
PF3D7_0811100	51	70	40	48
PF3D7_0115150	0	0	0	0
PF3D7_0914100	117	114	187	182
PF3D7_0832400	3	3	2	5
PF3D7_0107300	33	37	28	33
PF3D7_0100300	2	1	0	0
PF3D7_0934500	494	485	446	543
PF3D7_1247200	48	42	68	73
PF3D7_1223500	125	105	115	119
PF3D7_0801200	0	1	0	1
PF3D7_1125800	41	70	220	224
PF3D7_API00200	0	0	0	0
PF3D7_API05200	0	0	0	0
PF3D7_API05600	0	0	0	0
PF3D7_0105300	213	271	154	183
PF3D7_1415700	71	240	103	106
PF3D7_0111300	246	238	198	264
PF3D7_0617400	0	0	0	0
PF3D7_0101800	0	1	0	1
PF3D7_0215000	166	153	446	616
PF3D7_1457700	103	55	88	124
PF3D7_API04600	0	0	0	0
PF3D7_1250300	352	456	458	410
PF3D7_1365200	139	133	40	50
PF3D7_0514400	0	1	0	1
PF3D7_1000200	0	0	2	0
PF3D7_1207400	0	0	4	5
PF3D7_1237100	178	122	148	220
PF3D7_1041300	1	4	1	0
PF3D7_0912600	4	9	4	5
PF3D7_1312600	206	187	417	523
PF3D7_1408000	897	784	622	756
PF3D7_0613700	266	382	446	416
PF3D7_1250200	363	349	490	492
PF3D7_0817100	28	29	26	41
PF3D7_0823300	511	385	1050	1418
PF3D7_0804000	364	413	369	353
PF3D7_0211400	19	29	18	20
PF3D7_0626400	61	65	59	80
PF3D7_1239000	287	368	625	680
PF3D7_1370000	0	0	0	0
PF3D7_1337700	31	61	25	20
PF3D7_1018200	169	111	140	139
PF3D7_0831200	65	64	158	238
PF3D7_0517900	243	280	322	363
PF3D7_0732000	0	2	5	7
PF3D7_0207300	4	25	8	9
PF3D7_0934400	288	410	293	285
PF3D7_0611800	362	287	343	482
PF3D7_0304600	37	31	134	185
PF3D7_0201500	0	0	0	0
PF3D7_1403400	137	102	44	68
PF3D7_1305800	0	2	0	0
PF3D7_1444500	85	45	100	170
PF3D7_1138100	28	32	17	33
PF3D7_1303400	308	260	345	453
PF3D7_1012300	289	366	289	272
PF3D7_0821400	274	301	261	244
PF3D7_1457100	88	82	188	264
PF3D7_0205600	82	96	157	168
PF3D7_1447600	4	6	3	4
PF3D7_1435400	214	269	142	139
PF3D7_1340300	240	208	325	447
PF3D7_1244000	210	238	327	362
PF3D7_0516300	91	109	68	67
PF3D7_0609300	17	17	43	44
PF3D7_0212600	49	85	251	281
PF3D7_1419700	459	552	533	516
PF3D7_1139400	0	0	0	0
PF3D7_0529000	503	630	516	629
PF3D7_0408100	22	25	34	24
PF3D7_0514300	101	75	129	149
PF3D7_1019200	1	8	1	4
PF3D7_1252400	12	6	62	105
PF3D7_1465100	50	50	28	51
PF3D7_0322500	51	38	39	48
PF3D7_0714200	91	65	101	135
PF3D7_0111800	246	273	328	342
PF3D7_1430100	187	284	158	160
PF3D7_1330900	0	0	0	0
PF3D7_0212300	864	568	575	663
PF3D7_0605700	2	2	21	21
PF3D7_1478600	27	7	136	187
PF3D7_1462700	650	797	1111	1137
PF3D7_1402200	337	468	243	235
PF3D7_1341100	2	1	1	2
PF3D7_0529900	311	462	375	387
PF3D7_1410600	2390	3215	2082	2167
PF3D7_1105300	82	91	73	104
PF3D7_1436800	9	9	6	7
PF3D7_0401900	0	0	7	6
PF3D7_0311200	59	68	117	145
PF3D7_1208900	1160	1201	1076	1212
PF3D7_1338700	391	509	479	559
PF3D7_API06600	0	0	0	0
PF3D7_0703600	254	273	205	236
PF3D7_1251100	86	107	174	181
PF3D7_0405900	131	243	176	218
PF3D7_1416000	3	10	2	2
PF3D7_1358800	1511	1627	973	1048
PF3D7_0912900	629	735	458	447
PF3D7_0722400	960	761	568	613
PF3D7_0114200	37	17	32	40
PF3D7_0708100	87	120	144	160
PF3D7_0701700	0	0	0	0
PF3D7_1311500	982	1238	1203	1109
PF3D7_1366500	651	740	352	340
PF3D7_0305800	6	6	4	9
PF3D7_0102500	26	21	254	331
PF3D7_1450600	44	48	56	58
PF3D7_0206600	17	12	17	18
PF3D7_1106200	82	96	113	89
PF3D7_1479600	0	0	0	0
PF3D7_0201700	0	0	0	0
PF3D7_0936700	0	0	0	0
PF3D7_0407100	63	54	36	31
PF3D7_1412600	74	47	32	51
PF3D7_0526000	69	41	51	64
PF3D7_1331700	389	379	528	604
PF3D7_1134200	89	55	93	122
PF3D7_0205100	23	33	35	41
PF3D7_0601800	1	0	1	0
PF3D7_0420500	24	51	4	10
PF3D7_API03100	0	0	0	0
PF3D7_1305000	160	143	142	162
PF3D7_1202300	31	33	24	30
PF3D7_0803200	189	254	232	281
PF3D7_0811700	8	9	4	2
PF3D7_0724000	68	57	37	49
PF3D7_1137600	6	3	0	9
PF3D7_0907700	419	436	322	414
PF3D7_1111900	57	57	50	57
PF3D7_1321300	50	42	66	67
PF3D7_0609800	86	132	121	138
PF3D7_1130800	12	12	6	1
PF3D7_0100800	0	0	0	0
PF3D7_0624000	2312	2448	2266	2338
PF3D7_0523500	24	51	10	12
PF3D7_1476500	6	8	23	27
PF3D7_0209000	1	10	5	11
PF3D7_1127400	60	77	59	53
PF3D7_0931600	0	2	0	0
PF3D7_1331400	20	128	41	34
PF3D7_0628000	78	101	24	36
PF3D7_1443000	28	25	24	27
PF3D7_0932200	776	1028	805	775
PF3D7_1402600	0	0	0	0
PF3D7_1103700	346	369	233	253
PF3D7_1463000	35	47	39	39
PF3D7_0606800	315	450	437	518
PF3D7_1356700	15	26	48	55
PF3D7_1433000	58	91	38	43
PF3D7_0935900	0	0	0	0
PF3D7_0919100	563	642	743	853
PF3D7_1229400	2590	2544	1273	1301
PF3D7_0219300	112	147	31	37
PF3D7_0419800	178	272	140	124
PF3D7_0624200	250	258	266	278
PF3D7_0829200	165	154	226	273
PF3D7_1243700	52	72	116	130
PF3D7_0202900	66	68	51	43
PF3D7_0930800	66	55	62	74
PF3D7_0729300	182	155	196	217
PF3D7_1014400	180	204	111	130
PF3D7_0403600	125	163	211	233
PF3D7_0815800	205	170	295	360
PF3D7_1102300	2	1	51	43
PF3D7_0623700	116	163	62	87
PF3D7_0111200	30	52	35	37
PF3D7_0309400	0	0	0	0
PF3D7_0828200	275	270	259	287
PF3D7_0728200	53	57	37	29
PF3D7_1319900	38	59	20	22
PF3D7_1146000	73	86	270	307
PF3D7_1467900	190	155	306	404
PF3D7_1239200	919	605	732	1012
PF3D7_0500800	2060	1742	3095	3546
PF3D7_1102100	0	0	0	0
PF3D7_0525600	148	160	119	118
PF3D7_1304800	12	23	7	6
PF3D7_0629700	433	322	687	865
PF3D7_0101200	0	0	0	0
PF3D7_1122200	79	52	94	108
PF3D7_0106900	130	150	101	132
PF3D7_1318300	10	15	28	43
PF3D7_1148600	0	0	0	1
PF3D7_0310200	325	186	336	410
PF3D7_0421200	0	0	0	0
PF3D7_0304000	4	4	9	14
PF3D7_0731900	0	0	0	0
PF3D7_0902500	8	4	37	56
PF3D7_1316200	25	47	76	96
PF3D7_0412900	1	2	5	5
PF3D7_0919000	2461	1887	1764	1872
PF3D7_0818900	19671	17137	46189	45975
PF3D7_1226800	233	276	260	261
PF3D7_1221400	8	7	64	93
PF3D7_0630100	9	6	12	10
PF3D7_API00500	0	0	0	0
PF3D7_0214700	18	27	31	33
PF3D7_0618600	162	226	116	98
PF3D7_1316700	12	12	8	7
PF3D7_0104100	56	43	41	56
PF3D7_0700700	1	0	0	0
PF3D7_1215400	211	201	183	223
PF3D7_0706800	0	0	1	0
PF3D7_0710900	163	201	98	139
PF3D7_0221000	0	0	0	1
PF3D7_0831800	77	17	80	258
PF3D7_1032900	31	17	22	46
PF3D7_1016000	36	30	80	97
PF3D7_1415500	38	54	11	19
PF3D7_0607800	87	81	66	76
PF3D7_0404400	127	325	96	95
PF3D7_0625400	40	31	135	137
PF3D7_0324100	48	11	14	32
PF3D7_1466800	61	75	144	189
PF3D7_0822900	45	32	107	138
PF3D7_1139300	139	74	233	279
PF3D7_0530000	150	161	101	118
PF3D7_0202400	253	264	601	540
PF3D7_0708500	122	178	396	521
PF3D7_1314100	138	116	50	76
PF3D7_1110500	389	342	273	365
PF3D7_1003300	127	184	140	174
PF3D7_1118000	175	135	196	234
PF3D7_0218300	261	336	169	246
PF3D7_API02800	0	0	0	0
PF3D7_1477000	16	3	112	155
PF3D7_1240100	14	28	78	80
PF3D7_1455300	29	32	243	364
PF3D7_0802800	295	350	267	256
PF3D7_0110500	93	55	94	124
PF3D7_0110200	76	74	53	63
PF3D7_1365900	1801	1766	996	989
PF3D7_0913900	47	55	61	87
PF3D7_0622800	745	545	419	567
PF3D7_1420900	86	156	286	343
PF3D7_0422600	27	33	7	11
PF3D7_0527400	65	67	96	94
PF3D7_1318600	42	49	41	49
PF3D7_0416600	91	78	21	43
PF3D7_0931100	189	183	403	590
PF3D7_1427700	41	35	16	15
PF3D7_0425600	6	1	1	1
PF3D7_1461000	19	10	4	10
PF3D7_1473900	58	35	56	76
PF3D7_0531800	0	0	0	0
PF3D7_1475100	75	71	28	56
PF3D7_0710600	1793	2073	1165	1168
PF3D7_0725300	101	53	50	57
PF3D7_1000700	4	1	0	0
PF3D7_0517200	38	46	21	36
PF3D7_1436600	85	118	362	335
PF3D7_1245200	37	30	10	22
PF3D7_1208000	4	3	4	5
PF3D7_1475400	12	11	17	25
PF3D7_0313000	77	68	46	72
PF3D7_1112800	8	13	1	2
PF3D7_1231000	64	52	39	51
PF3D7_1337000	62	49	44	59
PF3D7_1019900	40	36	51	46
PF3D7_0512400	1	5	3	6
PF3D7_1138300	29	23	16	11
PF3D7_1134100	516	401	269	343
PF3D7_0107000	511	468	315	275
PF3D7_0302900	794	584	554	662
PF3D7_1004200	217	156	139	188
PF3D7_0602000	28	22	77	89
PF3D7_0315200	1	2	5	10
PF3D7_1121200	17	22	7	4
PF3D7_1100600	0	0	0	0
PF3D7_1124500	42	52	109	109
mal_rna_8	1	2	1	0
PF3D7_0813500	34	55	32	42
PF3D7_0937000	0	0	0	0
PF3D7_0914800	77	94	108	111
PF3D7_0830700	269	187	230	309
PF3D7_0619400	1598	1691	1785	1854
PF3D7_1359100	42	60	20	32
PF3D7_1471200	1041	1027	1158	1224
PF3D7_0521400	129	110	40	57
PF3D7_0505100	175	133	161	227
PF3D7_0912700	11	26	15	14
PF3D7_1360900	1184	1215	964	1002
PF3D7_1251600	88	96	96	135
PF3D7_0715300	98	153	183	199
PF3D7_1217900	99	65	99	119
PF3D7_1319300	156	108	123	161
PF3D7_0630500	92	78	40	66
PF3D7_1313000	90	105	116	132
PF3D7_1345100	48	78	100	123
PF3D7_1469200	48	55	95	122
PF3D7_1366200	153	161	93	82
PF3D7_1458400	100	91	61	75
PF3D7_1459900	7	10	10	6
PF3D7_1037800	5	8	6	7
PF3D7_1234900	548	713	457	501
PF3D7_0803700	83	86	122	145
PF3D7_0815000	174	92	73	75
PF3D7_0108100	51	56	60	60
PF3D7_0702900	81	101	61	75
PF3D7_0525700	135	222	116	121
PF3D7_1206100	31	30	8	13
PF3D7_0807000	248	303	288	297
PF3D7_1230400	132	178	285	261
PF3D7_1246000	4	5	3	3
PF3D7_1423300	72	99	65	64
PF3D7_0612300	11	15	5	8
PF3D7_1361700	307	347	444	508
PF3D7_1211700	1711	1662	1642	1646
PF3D7_0712600	1	1	0	5
PF3D7_0320700	582	888	841	816
PF3D7_1371600	15	5	13	23
PF3D7_1032100	120	90	179	256
PF3D7_1421150	2	3	2	2
PF3D7_1005400	1	2	0	0
PF3D7_1000300	0	0	0	0
PF3D7_1021100	89	32	26	32
PF3D7_1355100	1173	1016	641	647
PF3D7_1426700	294	297	332	304
PF3D7_0800700	0	3	5	14
PF3D7_1452600	58	47	76	147
PF3D7_0408200	24	25	18	20
PF3D7_0918200	387	645	458	450
PF3D7_0619900	141	201	210	220
PF3D7_1326800	58	74	48	41
PF3D7_1238900	40	82	258	298
PF3D7_1202100	336	396	379	442
PF3D7_1027300	2903	3185	6349	5545
PF3D7_0209500	3	27	2	4
PF3D7_0809300	81	78	73	67
PF3D7_1474500	125	144	89	119
PF3D7_0813100	68	50	107	93
PF3D7_0303700	351	306	313	349
PF3D7_1328100	853	833	555	626
PF3D7_1332100	7	34	5	5
PF3D7_0422200	158	74	230	304
PF3D7_1333400	312	390	233	231
PF3D7_0307000	0	0	0	0
PF3D7_0102900	557	424	302	381
PF3D7_1104100	153	183	153	160
PF3D7_0501300	143	99	1148	1337
PF3D7_1210800	6	5	1	4
PF3D7_0827900	5995	6121	6098	5723
PF3D7_1459000	617	617	722	812
PF3D7_1442600	10	9	23	23
PF3D7_0102100	1	2	0	0
PF3D7_0626900	51	38	20	44
PF3D7_0322000	4440	4488	2514	2577
PF3D7_0936300	0	0	0	0
PF3D7_1126500	192	130	75	94
PF3D7_0923900	435	567	583	564
PF3D7_0523100	367	310	321	349
PF3D7_1434600	204	159	143	173
PF3D7_1436100	70	60	113	118
PF3D7_1245400	143	198	205	205
PF3D7_1312400	37	62	67	84
PF3D7_0604600	25	37	28	19
PF3D7_1331900	0	0	0	0
PF3D7_1254300	0	0	0	0
PF3D7_1028700	278	384	979	1073
PF3D7_0809100	4	1	12	16
PF3D7_0833400	0	0	0	0
PF3D7_0313600	184	198	219	242
PF3D7_0407800	189	148	195	228
PF3D7_1449600	16	18	11	18
PF3D7_1040000	0	0	0	1
PF3D7_1320800	324	350	202	223
PF3D7_1110100	86	106	93	117
PF3D7_1223000	62	94	92	74
PF3D7_0822800	96	113	147	177
PF3D7_1432400	28	23	50	51
PF3D7_0517400	489	407	663	835
PF3D7_1107800	454	352	644	837
PF3D7_0601400	0	1	0	0
PF3D7_1365400	33	11	28	32
PF3D7_0504000	808	631	447	553
PF3D7_0627500	1506	1395	616	604
PF3D7_1323500	336	429	299	331
PF3D7_1400600	1	0	0	0
PF3D7_1476400	309	331	835	1091
PF3D7_0907600	95	66	74	90
PF3D7_0700900	0	0	0	0
PF3D7_1464100	25	27	8	21
PF3D7_1403000	4	0	1	4
PF3D7_1251300	299	406	285	276
PF3D7_1140300	8	8	8	6
PF3D7_0814500	15	22	52	85
PF3D7_0709600	114	94	176	211
PF3D7_0307200	2626	2626	1120	1340
PF3D7_1124800	442	656	821	966
PF3D7_0324300	2	0	0	2
PF3D7_1463200	607	612	637	704
PF3D7_1409400	297	374	261	294
PF3D7_0113300	84	61	247	319
PF3D7_1251000	0	0	0	1
PF3D7_1461100	58	69	68	97
PF3D7_1137000	7	13	15	10
PF3D7_1373100	0	0	0	0
PF3D7_1452700	427	375	306	365
PF3D7_0603400	57	60	67	87
PF3D7_1478500	0	0	2	1
PF3D7_1223100	618	789	615	616
PF3D7_1422900	5	1	9	9
PF3D7_0210500	24	14	10	14
PF3D7_1247400	546	414	367	464
PF3D7_1253700	3	0	3	11
PF3D7_0723400	332	267	263	309
PF3D7_0728600	279	227	537	581
PF3D7_0816400	137	151	105	116
PF3D7_1131300	24	34	25	33
PF3D7_1372800	4	0	3	1
PF3D7_0208200	211	169	186	185
PF3D7_0707900	297	338	289	367
PF3D7_1324400	53	67	163	149
PF3D7_1368200	676	758	728	933
PF3D7_0404200	24	39	37	36
PF3D7_1464800	0	0	0	0
PF3D7_0106500	41	49	52	74
PF3D7_1323200	252	324	177	203
PF3D7_0601100	0	0	0	0
PF3D7_0625000	11	43	86	88
PF3D7_0108900	2	3	0	0
malmito_rna_17	0	0	0	0
PF3D7_1358700	223	342	158	170
PF3D7_1127000	48	116	262	292
PF3D7_0903500	184	130	161	207
PF3D7_1107100	287	274	637	627
PF3D7_0211500	14	10	16	15
PF3D7_0903100	66	113	81	78
PF3D7_1345200	114	110	97	121
PF3D7_1001700	359	438	545	582
PF3D7_0111000	173	138	79	128
PF3D7_0905200	61	46	87	84
PF3D7_0629100	331	299	201	236
PF3D7_0109300	53	81	10	18
PF3D7_0806200	103	86	32	31
PF3D7_1323600	131	169	324	342
PF3D7_0609100	97	93	99	111
PF3D7_0411100	62	63	17	22
PF3D7_0501000	588	452	554	615
PF3D7_1130400	775	775	938	990
PF3D7_0631400	8	3	9	12
PF3D7_1427900	1970	1116	736	1107
PF3D7_0724600	167	171	128	141
PF3D7_1456900	107	104	163	182
PF3D7_1226000	32	29	146	152
PF3D7_1431100	9	10	43	53
PF3D7_0713400	162	90	103	129
PF3D7_1218700	4	5	0	4
PF3D7_0507400	12	19	31	22
PF3D7_1143100	15	19	81	117
PF3D7_1101300	4	3	2	2
PF3D7_1005800	33	94	16	19
PF3D7_1002200	204	157	673	934
PF3D7_1236300	54	73	66	64
PF3D7_1400500	0	0	0	0
PF3D7_0623000	134	125	201	260
PF3D7_0103100	29	28	44	77
PF3D7_0717000	114	159	71	87
PF3D7_0307700	1039	828	1055	1221
PF3D7_1414400	544	851	1173	1194
PF3D7_1003100	94	134	95	101
PF3D7_0410500	4	5	4	1
PF3D7_1431500	269	306	437	516
PF3D7_1336100	52	49	58	59
PF3D7_1229200	0	0	0	0
PF3D7_1441200	895	550	315	361
PF3D7_1360800	1123	808	679	923
PF3D7_1223900	498	579	611	662
PF3D7_1206000	141	206	83	78
PF3D7_0106300	1958	2100	2392	2413
PF3D7_0931900	11	26	4	8
PF3D7_0416000	401	359	372	465
PF3D7_0824100	48	31	91	114
PF3D7_0827300	76	59	84	94
PF3D7_1470900	809	920	684	798
PF3D7_0406200	409	385	881	856
PF3D7_0500400	2	0	2	4
PF3D7_0707600	68	54	95	118
PF3D7_0903400	394	244	226	290
PF3D7_1334100	141	140	148	192
PF3D7_1213100	0	0	3	5
PF3D7_0526900	434	432	385	424
PF3D7_1448900	44	66	50	49
PF3D7_1143900	78	109	44	44
PF3D7_0821200	133	100	193	225
PF3D7_1004900	124	129	113	96
PF3D7_0310500	261	114	177	174
PF3D7_0810300	347	331	597	720
PF3D7_1342100	151	177	141	179
PF3D7_0601600	10	15	8	17
PF3D7_0710700	121	192	248	297
PF3D7_0827400	17	40	8	5
PF3D7_1136900	36	80	261	374
PF3D7_0822600	886	1130	1149	1162
PF3D7_0731800	9	5	53	83
PF3D7_1300900	0	0	0	0
PF3D7_1475900	11	6	17	21
PF3D7_0616200	222	178	183	224
mal_mito_3	104	210	61	27
PF3D7_1479200	0	0	0	0
PF3D7_0917000	263	268	258	315
PF3D7_1138400	105	68	142	195
PF3D7_0811500	69	61	15	46
PF3D7_1020200	12	14	25	13
PF3D7_0719500	328	431	383	451
PF3D7_1211100	13	12	20	36
PF3D7_0920400	63	45	50	71
PF3D7_1373500	6	5	6	3
PF3D7_1318500	3	4	1	0
PF3D7_0313900	35	24	38	42
PF3D7_1372500	887	380	732	818
PF3D7_1472200	350	270	389	541
PF3D7_1346100	1653	2300	1583	1776
PF3D7_0808000	12	18	5	6
PF3D7_0300800	0	0	0	0
PF3D7_0926900	129	153	149	183
PF3D7_1454900	2	4	3	9
PF3D7_0114400	4	1	64	58
PF3D7_0935400	0	0	0	0
PF3D7_1253800	0	0	0	0
PF3D7_1431400	146	182	127	134
PF3D7_1014900	111	81	60	77
PF3D7_0513700	7	9	3	4
PF3D7_0710300	160	176	100	97
PF3D7_1103800	400	296	378	447
PF3D7_0300400	0	0	1	0
PF3D7_1123500	179	191	256	342
PF3D7_1306800	85	62	96	125
PF3D7_1437800	79	114	77	88
PF3D7_1311600	60	58	112	135
PF3D7_0315000	54	70	37	41
PF3D7_1418300	98	126	108	139
PF3D7_0921100	30	15	9	9
PF3D7_0629300	17	8	97	113
PF3D7_0911200	30	39	24	27
PF3D7_1010300	353	447	614	649
PF3D7_0614500	2676	2808	924	1215
PF3D7_0102800	44	36	26	25
PF3D7_0306000	143	139	60	54
PF3D7_1322300	152	132	144	196
PF3D7_0632600	2	0	0	0
PF3D7_0904100	115	101	140	134
PF3D7_0630800	4	6	1	3
PF3D7_1214000	162	230	97	119
PF3D7_0820500	158	136	123	147
PF3D7_0222600	1	0	2	1
PF3D7_1322900	14	30	8	11
PF3D7_1144000	1318	1455	943	1111
PF3D7_0419300	141	198	238	267
PF3D7_0910400	126	114	58	87
PF3D7_0617600	10	6	3	7
PF3D7_0917400	52	46	14	23
PF3D7_1016500	0	0	63	85
PF3D7_1237600	123	118	154	186
PF3D7_0923800	666	679	610	599
PF3D7_1442900	249	145	324	432
PF3D7_0420200	12	21	15	26
PF3D7_1336900	172	163	227	250
PF3D7_1001900	70	75	200	241
PF3D7_1454800	3	9	6	3
PF3D7_1319600	21	10	49	66
PF3D7_0220800	256	271	163	180
PF3D7_0605200	193	292	275	277
PF3D7_0107100	35	34	19	24
PF3D7_1128400	528	657	441	539
PF3D7_1417700	350	406	476	526
PF3D7_API06200	0	0	0	0
